Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
Tirpitz,Bismarck-class Battleship,Battleship,Kriegsmarine,KM,Germany,1939,Actual
Tone,Tone-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1937,Actual
Tongji,Tongji-class Light Cruiser,Light Cruiser,Republic of China Navy,ROCN,China,,No Data
Torsk,Tench-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Tourville,Duquesne-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,,No Data
Toyama Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Tranquility,Haven-class Hospital Ship,Hospital Ship,United States Navy,USN,United States,1944,Actual
Trento,Trento-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,1927,Actual
Trepang,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Tribune,T-class Submarine,Submarine,Royal Navy,RN,United Kingdom,1938,Actual
Trieste,Trento-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,1926,Actual
Trigger,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Trillium,Flower-class Corvette,Corvette,Royal Canadian Navy,RCN,Canada,1940,Actual
Triton,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Trout,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Trutta,Tench-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Tsingtau,Tsingtau-class Tender,Tender,Kriegsmarine,KM,Germany,1934,Actual
Tsushima Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Tucker,Mahan-class Destroyer,Destroyer,United States Navy,USN,United States,1936,Actual
Tullibee,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Tuna,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Tunny,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Tuscaloosa,New Orleans-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1933,Actual
Type B-class Summary Information,Type B-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Type C-class Summary Information,Type C-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Type D-class Summary Information,Type D-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Type XXVII-class Summary Information,Type XXVII-class Midget Submarine,Midget Submarine,Kriegsmarine,KM,Germany,,No Data
U-1,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-10,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-100,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-101,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-1011,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-102,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-103,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-104,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-105,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-1059,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-106,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-107,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-108,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-109,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-11,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-110,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-111,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-112 (Planned),Type XI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-113 (Planned),Type XI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1133,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1134,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1135,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-114 (Planned),Type XI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-115 (Planned),Type XI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-116,Type X-class Minelaying Submarine,Minelaying Submarine,Kriegsmarine,KM,Germany,,No Data
U-117,Type X-class Minelaying Submarine,Minelaying Submarine,Kriegsmarine,KM,Germany,,No Data
U-118,Type X-class Minelaying Submarine,Minelaying Submarine,Kriegsmarine,KM,Germany,,No Data
U-119,Type X-class Minelaying Submarine,Minelaying Submarine,Kriegsmarine,KM,Germany,,No Data
U-12,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-120,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-121,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-122,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-123,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-1233,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-1234,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-1235,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-1239,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-124,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-1240,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-125,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-126,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-127,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
