Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
U-3519,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3520,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3521,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3522,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3523,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3524,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3525,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3526,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3527,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3528,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3535,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3536,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3537,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3538,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3539,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3540,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3541,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-3542,Type XXI-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-36,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-37,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-373,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-38,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-382,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-39,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-4,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-40,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-401,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-402,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-403,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-41,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-42,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-43,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-44,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-442,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-45,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-452,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-453,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-454,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-459,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-46,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-460,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-461,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-462,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-463,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-464,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-47,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-4714,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1945,Actual
U-48,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-49,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-491,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-492,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-493,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-494,Type XIV-class Cargo Submarine,Cargo Submarine,Kriegsmarine,KM,Germany,,No Data
U-5,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-50,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-505,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-51,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-52,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-53,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-530,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-537,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-54,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-55,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-559,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-56,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-57,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-575,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-576,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-577,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-578,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-58,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-59,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
U-6,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-60,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-61,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-62,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-63,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-64,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-65,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1939,Actual
U-66,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-67,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-68,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-684,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-685,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-686,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-687,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-688,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-689,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-69,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-7,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-70,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-71,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-72,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-73,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-736,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-737,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-738,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-74,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-745,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-746,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-75,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-751,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-752,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-754,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-76,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-77,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-78,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-79,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-8,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-80,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-81,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-82,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-821,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-822,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1944,Actual
U-83,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-84,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-85,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-86,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-860,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-869,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-87,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-88,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-89,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-9,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-90,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-908,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-91,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-92,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-922,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-923,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-924,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-925,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-926,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-927,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-928,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-929,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-93,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-930,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-931,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-932,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-94,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-95,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-96,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-97,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-977,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1943,Actual
U-98,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-99,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
UA,Ay-class Submarine,Submarine,Kriegsmarine,KM,Germany,1938,Actual
Unryu,Unryu-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1943,Actual
Unyo,Taiyo-class Escort Carrier,Escort Carrier,Imperial Japanese Navy,IJN,Japan,1939,Actual
Valiant,Queen Elizabeth-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1914,Actual
Vampire,V and W-class Destroyer,Destroyer,Royal Australian Navy,RAN,Australia,1917,Actual
Velite,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Vendetta,V and W-class Destroyer,Destroyer,Royal Australian Navy,RAN,Australia,1917,Actual
Victorious,Illustrious-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1939,Actual
Victory-class Summary Information,Victory-class Merchant Vessel,Merchant Vessel,United States Navy,USN,United States,,No Data
Vincennes,New Orleans-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1936,Actual
Vincenzo Gioberti,Oriani-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Vittorio Alfieri,Oriani-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Vittorio Veneto,Vittorio Veneto-class Battleship,Battleship,Regia Marina,RM,Italy,1937,Actual
Voroshilov,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1937,Actual
VÃ¤inÃ¤mÃ¶inen,VÃ¤inÃ¤mÃ¶inen-class Coastal Defense Ship,Coastal Defense Ship,Finnish Navy,FNM,Finland,1932,Actual
Wahoo,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Wake Island,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Waldemar Kophamel,Wilhelm Bauer-class Submarine Tender,Submarine Tender,Kriegsmarine,KM,Germany,1939,Actual
Waller,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Ward,Wickes-class Destroyer,Destroyer,United States Navy,USN,United States,,No Data
Warspite,Queen Elizabeth-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1913,Actual
Washington,North Carolina-class Battleship,Battleship,United States Navy,USN,United States,1940,Actual
Wasp (Essex-class),Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1943,Actual
Wasp (Wasp-class),Wasp-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1939,Actual
Waterhen,V and W-class Destroyer,Destroyer,Royal Australian Navy,RAN,Australia,1918,Actual
Wedderburn,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Weissesee,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
West Virginia,Colorado-class Battleship,Battleship,United States Navy,USN,United States,1921,Actual
Westcott,V and W-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1918,Actual
Westfalen,No Classification,No Classification,Kriegsmarine,KM,Germany,1905,Actual
Whale,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Whitehall,V and W-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1919,Actual
Wickes,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Widder,No Classification,No Classification,Kriegsmarine,KM,Germany,1929,Actual
Wilhelm Bauer,Wilhelm Bauer-class Submarine Tender,Submarine Tender,Kriegsmarine,KM,Germany,1938,Actual
Wilhelm Gustloff,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Wisconsin,Iowa-class Battleship,Battleship,United States Navy,USN,United States,1943,Actual
Wolf,1924-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1927,Actual
Wolverine,No Classification,No Classification,United States Navy,USN,United States,,No Data
X-class Summary Information,X-class Midget Submarine,Midget Submarine,Royal Navy,RN,United Kingdom,,No Data
Yahagi,Agano-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1942,Actual
Yamagumo,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1938,Actual
Yamashiro,Fuso-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1915,Actual
Yamato,Yamato-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1940,Actual
Yingrui,Zhaohe-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,1911,Actual
York,York-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1928,Actual
Yorktown (Essex-class),Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1943,Actual
Yorktown (Yorktown-class),Yorktown-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1936,Actual
Young,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Yubari,Yubari-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1923,Actual
Yugure,Hatsuharu-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1934,Actual
Yukikaze,Kagero-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1939,Actual
Yura,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1922,Actual
Yuzuki,Mutsuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1927,Actual
Z1 Leberecht Maass,1934-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1935,Actual
Z10 Hans Lody,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z11 Bernd Von Arnim,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z12 Erich Giese,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z13 Erich Koellner,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z14 Friedrich Ihn,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1935,Actual
Z15 Erich Steinbrinck,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z16 Friedrich Eckholdt,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z17 Diether von Roeder,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z18 Hans Ludemann,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z19 Hermann Kunne,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1937,Actual
Z2 Georg Thiele,1934-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1935,Actual
Z20 Karl Galster,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1938,Actual
Z21 Wilhelm Heidkamp,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1938,Actual
Z22 Anton Schmitt,1936-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1938,Actual
Z23,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1939,Actual
Z24,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z25,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z26,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z27,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z28,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z29,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z3 Max Schultz,1934-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1935,Actual
Z30,1936A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1940,Actual
Z31,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1941,Actual
Z32,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1941,Actual
Z33,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1941,Actual
Z34,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1942,Actual
Z35,1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1942,Actual
Z36,1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1943,Actual
Z37,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1942,Actual
Z38,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1941,Actual
Z39,1936A (Mob)-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1941,Actual
Z4 Richard Beitzen,1934-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1935,Actual
Z40 (Planned),1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z41 (Planned),1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z42 (Planned),1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z43,1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1943,Actual
Z44,1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1944,Actual
Z45,1936B-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z46,1936C-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z47,1936C-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z48 (Planned),1936C-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z49 (Planned),1936C-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z5 Paul Jacobi,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z50 (Planned),1936C-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z51,1942-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1944,Actual
Z52,1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z53,1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z54,1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z55,1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z56,1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z57 (Planned),1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z58 (Planned),1944-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,,No Data
Z6 Theodor Riedel,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z7 Hermann Schoemann,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z8 Bruno Heinemann,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Z9 Wolfgang Zenker,1934A-class Destroyer,Destroyer,Kriegsmarine,KM,Germany,1936,Actual
Zara,Zara-class Heavy Cruiser,Heavy Cruiser,Regia Marina,RM,Italy,1930,Actual
Zhaohe,Zhaohe-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,1911,Actual
Zuiho,Zuiho-class Light Carrier,Light Carrier,Imperial Japanese Navy,IJN,Japan,1936,Actual
Zuikaku,Shokaku-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1939,Actual
A (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
